year,countrycode,ctrycode,country,resid_y,resid_x1,resid_x2,region,post
1960,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1965,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1970,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1977,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1980,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1985,ABW,ABW,Aruba,,,,Latin America & Caribbean,0
1990,ABW,ABW,Aruba,2.3706815,10.109273,,Latin America & Caribbean,0
1995,ABW,ABW,Aruba,-1.3385909,3.6641867,,Latin America & Caribbean,0
2000,ABW,ABW,Aruba,1.0974671,-.55700493,,Latin America & Caribbean,0
2005,ABW,ABW,Aruba,-2.8424368,-14.985352,,Latin America & Caribbean,0
2010,ABW,ABW,Aruba,-1.0042731,-7.757021,,Latin America & Caribbean,1
2015,ABW,ABW,Aruba,-.13728189,-6.904067,,Latin America & Caribbean,1
2020,ABW,ABW,,1.8544341,16.429985,,Latin America & Caribbean,1
1960,AND,AND,Andorra,,,,Europe & Central Asia,0
1965,AND,AND,Andorra,,,,Europe & Central Asia,0
1970,AND,AND,Andorra,-1.0537391,,,Europe & Central Asia,0
1977,AND,AND,Andorra,-4.1091943,,,Europe & Central Asia,0
1980,AND,AND,Andorra,-.87055087,,,Europe & Central Asia,0
1985,AND,AND,Andorra,.1137038,,,Europe & Central Asia,0
1990,AND,AND,Andorra,-1.5783663,,,Europe & Central Asia,0
1995,AND,AND,Andorra,3.413377,,,Europe & Central Asia,0
2000,AND,AND,Andorra,3.0093997,,,Europe & Central Asia,0
2005,AND,AND,Andorra,-1.7456379,,,Europe & Central Asia,0
2010,AND,AND,Andorra,1.092553,,,Europe & Central Asia,1
2015,AND,AND,Andorra,.7978555,,,Europe & Central Asia,1
2020,AND,AND,,.93059957,,,Europe & Central Asia,1
1960,ARE,ARE,United Arab Emirates,,,,Middle East & North Africa,0
1965,ARE,ARE,United Arab Emirates,,,,Middle East & North Africa,0
1970,ARE,ARE,United Arab Emirates,21.478827,,,Middle East & North Africa,0
1977,ARE,ARE,United Arab Emirates,-.29360527,8.8903465,,Middle East & North Africa,0
1980,ARE,ARE,United Arab Emirates,-.27133963,-8.2136364,,Middle East & North Africa,0
1985,ARE,ARE,United Arab Emirates,-7.1541033,-2.2342536,,Middle East & North Africa,0
1990,ARE,ARE,United Arab Emirates,2.0741148,-10.710114,,Middle East & North Africa,0
1995,ARE,ARE,United Arab Emirates,-3.1604071,-5.5076756,,Middle East & North Africa,0
2000,ARE,ARE,United Arab Emirates,-1.4832762,-9.247488,,Middle East & North Africa,0
2005,ARE,ARE,United Arab Emirates,-5.8236389,1.9175147,,Middle East & North Africa,0
2010,ARE,ARE,United Arab Emirates,-1.5583223,-1.9055573,,Middle East & North Africa,1
2015,ARE,ARE,United Arab Emirates,-2.1755891,13.731272,,Middle East & North Africa,1
2020,ARE,ARE,United Arab Emirates,-1.6326593,13.279592,,Middle East & North Africa,1
1960,ATG,ATG,Antigua and Barbuda,,,,Latin America & Caribbean,0
1965,ATG,ATG,Antigua and Barbuda,,,,Latin America & Caribbean,0
1970,ATG,ATG,Antigua and Barbuda,,,,Latin America & Caribbean,0
1977,ATG,ATG,Antigua and Barbuda,.76562351,22.921049,,Latin America & Caribbean,0
1980,ATG,ATG,Antigua and Barbuda,3.1195066,5.6084132,,Latin America & Caribbean,0
1985,ATG,ATG,Antigua and Barbuda,4.2609115,-1.6470826,,Latin America & Caribbean,0
1990,ATG,ATG,Antigua and Barbuda,1.6634264,-1.0297725,,Latin America & Caribbean,0
1995,ATG,ATG,Antigua and Barbuda,-1.8817662,7.6582665,,Latin America & Caribbean,0
2000,ATG,ATG,Antigua and Barbuda,-1.6557529,10.461161,,Latin America & Caribbean,0
2005,ATG,ATG,Antigua and Barbuda,.017900968,-3.6811247,,Latin America & Caribbean,0
2010,ATG,ATG,Antigua and Barbuda,-4.3031421,2.6668718,,Latin America & Caribbean,1
2015,ATG,ATG,Antigua and Barbuda,.21928641,-20.624783,,Latin America & Caribbean,1
2020,ATG,ATG,,-2.2059941,-22.332998,,Latin America & Caribbean,1
1960,AUS,AUS,Australia,-1.071448,-13.675856,,East Asia & Pacific,0
1965,AUS,AUS,Australia,-.2079535,-15.795196,,East Asia & Pacific,0
1970,AUS,AUS,Australia,-1.6501828,-20.394053,,East Asia & Pacific,0
1977,AUS,AUS,Australia,-1.4969392,-24.618759,,East Asia & Pacific,0
1980,AUS,AUS,Australia,.71876872,-28.244513,,East Asia & Pacific,0
1985,AUS,AUS,Australia,.61717552,-17.916983,,East Asia & Pacific,0
1990,AUS,AUS,Australia,1.2339059,-9.8504276,,East Asia & Pacific,0
1995,AUS,AUS,Australia,1.0542696,-1.6960421,,East Asia & Pacific,0
2000,AUS,AUS,Australia,.05995322,10.0071,,East Asia & Pacific,0
2005,AUS,AUS,Australia,.44405383,18.340618,,East Asia & Pacific,0
