Sector,GVA_2000,GVA_2024,Emp_2000,Emp_2024
Agriculture ,9024,15218,377,361
Mining & quarrying ,21193,28408,76,46
Manufacturing ,146142,217605,3904,2580
Utilities,11721,30822,99,141
Water & waste management,13058,28330,165,242
Construction ,56910,150628,1936,2227
Retail & wholesale,115697,235312,4948,4741
Transport & storage ,44772,86382,1401,1883
Accommodation & food,25905,70140,1821,2702
Information & comm ,60076,144247,1195,1638
Finance & insurance ,65319,213565,1162,1183
Real estate,140656,330827,316,680
Professional & technical ,57585,208889,1847,3511
Business admin & support ,37632,133008,2177,2958
Public admin & defence,49569,128016,1641,1722
Education ,50585,157156,2245,3065
Health & social care,54295,216862,3071,5046
Arts & entrainment,11248,33124,745,1100
Other services,16128,42073,887,966
