Industry,GVA,Hours worked,Output per hour worked
Whole economy,0.6,1,-0.4
Mining and Quarrying,-5.3,-19.7,17.9
Transport and Storage,5.4,-0.8,6.2
Education,2,-1.9,3.9
Admin. Services,2.3,-0.5,2.9
IT,0.9,-1.6,2.5
Construction,-0.8,-2.3,1.5
Energy,0.4,-0.3,0.7
Recreation and Culture,0,-0.1,0.1
Manufacturing,-1.1,-1.1,0
Hotels and Catering,0,0.2,-0.2
Business Services,2.8,3.4,-0.6
Finance and Insurance,-1.6,-1,-0.6
Public admin and defence,2.4,3.5,-1.1
Health,2.3,4.1,-1.8
Wholesale and Retail,-0.2,1.9,-2.1
Other Services,1.6,5.2,-3.4
Water Supply,-2.2,2,-4.1
Real Estate,-2.8,4.1,-6.7
Agriculture,0.6,12.7,-10.8
